name,hasBoundRole2,type,label,hasBoundRole1
Binding_305,['Role_Frame_Control_controlling_entity'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Employment.employer=Control.controlling_entity'],['Role_Frame_Employment_employer']
Binding_719,['Role_Frame_Physical_combat_outcome'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Physical competition.outcome=Physical combat.outcome'],['Role_Frame_Physical_competition_outcome']
Binding_879,['Role_Frame_Relation_entity_1'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Spatial relation.entity_1=Relation.entity_1'],['Role_Frame_Spatial_relation_entity_1']
Binding_953,['Role_Frame_Judgment_judged_party'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Trust relationship.trusted_entity=Judgment.judged_party'],['Role_Frame_Trust_relationship_trusted_entity']
Binding_45,['Role_Frame_Emotion_mind'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Anger.mind=Emotion.mind'],['Role_Frame_Anger_mind']
Binding_708,['Role_Frame_Competition_competition_purpose'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Physical competition.purpose=Competition.competition_purpose'],['Role_Frame_Physical_competition_purpose']
Binding_583,['Role_Frame_Legislative_action_legislative_actor'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Legislation enactment.legislators=Legislative action.legislative_actor'],['Role_Frame_Legislation_enactment_legislators']
Binding_87,['Role_Frame_Being_at_a_location_x_schema'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Being in a bounded region.x-schema=Being at a location.x-schema'],['Role_Frame_Being_in_a_bounded_region_x_schema']
Binding_77,['Role_Frame_Trajector_landmark_trajector'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Being at a location.experiencer=Trajector_landmark.trajector'],['Role_Frame_Being_at_a_location_experiencer']
Binding_509,['Role_Frame_Experiencing_an_economic_status_stative_x_schema'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Impoverished.state_x-schema=Experiencing an economic status.stative_x-schema'],['Role_Frame_Impoverished_state_x_schema']
Binding_561,['Role_Frame_Legality_legal_code'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Law.law=Legality.legal_code'],['Role_Frame_Law_law']
Binding_772,['Role_Frame_Desiring_desired_situation'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Purposeful action.objective=Desiring.desired_situation'],['Role_Frame_Purposeful_action_objective']
